RespondentID,Feedback,clean_feedback
372,Very balanced flavour. Not bad at all tbh.,very balanced flavour not bad at all honestly
373,Love it ☕ 😋,love it
374,Not bad. 😊,not bad
375,The beans smell fantastic. Not bad at all tbh. 👎,the beans smell fantastic not bad at all honestly
376,Taste is kinda weak. Customer service was great too.,taste is kinda weak customer service was great too
377,Really enjoying Coffee X. Delivery was really fast.,really enjoying coffee x delivery was really fast
378,Packaging looks premium but freshness could improve. 😊,packaging looks premium but freshness could improve
379,Expected better. Customer service was great too.,expected better customer service was great too
380,Packaging looks premium but freshness could improve. Delivery was really fast.,packaging looks premium but freshness could improve delivery was really fast
381,Wouldn't buy again 🤔,wouldnt buy again
382,Coffee arrived stale. 👍,coffee arrived stale
383,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍,packaging looks premium but freshness could improve please introduce more roast options
384,Works gr8 with milk but black coffe isn't my favourite. Would recommend it to friends.,works gr with milk but black coffe isnt my favourite would recommend it to friends
385,Taste is nice but it's a bit pricey. ngl I expected more. ❤️,taste is nice but its a bit pricey honestly i expected more
386,The beans smell fantastic. Hope you keep the qualty consistent.,the beans smell fantastic hope you keep the qualty consistent
387,I'll definitely buy again. Hope you keep the quality consistent. 😋,ill definitely buy again hope you keep the quality consistent
388,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😕",love the aroma not a fan of the aftertaste customer service was great too
389,Not as fresh as expected. Customer service was great too. 👎,not as fresh as expected customer service was great too
390,Didn't enjoy the aftertaste. ngl I expected more.,didnt enjoy the aftertaste honestly i expected more
391,Not bad. 😋,not bad
392,Taste is nice but it's a bit pricey. I drink it every morning.,taste is nice but its a bit pricey i drink it every morning
393,Love this coffee. imo it's one of the better brands. 👌,love this coffee opinion its one of the better brands
394,Taste is nice but it's a bit pricey. Delivery was really fast. 😋,taste is nice but its a bit pricey delivery was really fast
395,Taste is nice but it's a bit pricey. I drink it every morning. ❤️,taste is nice but its a bit pricey i drink it every morning
396,Packaging could be better. ngl I expected more. ❤️,packaging could be better honestly i expected more
397,Works great with milk but black coffee isn't my favourite. 😍,works great with milk but black coffee isnt my favourite
398,Really enjoying Coffee X. Would love a decaf version. 😅,really enjoying coffee x would love a decaf version
399,Too bitter for me. Customer service was great too. 👌,too bitter for me customer service was great too
400,Taste is kinda weak.,taste is kinda weak
401,Really enjoying Coffee X. 😍,really enjoying coffee x
402,Way too expensive. Would love a decaf version. ❤️,way too expensive would love a decaf version
403,Amazing aroma. Please introduce more roast options.,amazing aroma please introduce more roast options
404,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😅",love the aroma not a fan of the aftertaste would love a decaf version
405,Worth every penny. Would recommend it to friends.,worth every penny would recommend it to friends
406,Bit disappointed. 😊,bit disappointed
407,Very balanced flavour. Would love a decaf version. 🤔,very balanced flavour would love a decaf version
408,Works great with milk but black cofee isn't my favourite. Not bad at all tbh.,works great with milk but black cofee isnt my favourite not bad at all honestly
409,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 🤔,pretty good overall although i expected a stronger roast please introduce more roast options
410,Really enjoying cofee X. imo it's one of the better brands. ❤️,really enjoying cofee x opinion its one of the better brands
411,Packaging could be better,packaging could be better
412,Taste is nice but it's a bit pricey. Delivery was really fast.,taste is nice but its a bit pricey delivery was really fast
413,Really enjoying Coffee X. I drink it every morning. 😅,really enjoying coffee x i drink it every morning
414,Way too expensive. Would love a decaf version. 😋,way too expensive would love a decaf version
415,Really enjoying cofee X. 😊,really enjoying cofee x
416,Amazing aroma 👌,amazing aroma
417,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😊,works great with milk but black coffee isnt my favourite not bad at all honestly
418,Pretty good overall although I expected a stronger roast. Not bad at all tbh.,pretty good overall although i expected a stronger roast not bad at all honestly
419,cofee arrived stale. Would recommend it to friends.,cofee arrived stale would recommend it to friends
420,Pretty good overall although I expected a stronger roast. Would love a decaf version.,pretty good overall although i expected a stronger roast would love a decaf version
421,Taste is kinda weak ☕,taste is kinda weak
422,Coffee arrived stale. imo it's one of the better brands.,coffee arrived stale opinion its one of the better brands
423,Packaging looks premium but freshness could improve. ngl I expected more. 😍,packaging looks premium but freshness could improve honestly i expected more
424,Taste is kinda weak. 😅,taste is kinda weak
425,Worth every penny. Would recommend it to friends. 🤔,worth every penny would recommend it to friends
426,Pretty good overall although I expected a stronger roast. ngl I expected more.,pretty good overall although i expected a stronger roast honestly i expected more
427,My morning feels incomplete without it. 😅,my morning feels incomplete without it
428,Best coffee I've had in a while 😍,best coffee ive had in a while
429,My morning feels incomplete without it. 👌,my morning feels incomplete without it
430,Didn't enjoy the aftertaste. Would love a decaf version.,didnt enjoy the aftertaste would love a decaf version
431,"Love the aroma, not a fan of the aftertaste. imo it's one of the better brands.",love the aroma not a fan of the aftertaste opinion its one of the better brands
432,Pretty good! 😅,pretty good
433,Too bitter for me. Customer service was great too. 😋,too bitter for me customer service was great too
434,Love this coffee. ngl I expected more. 👌,love this coffee honestly i expected more
435,Worth every penny.,worth every penny
436,Worth every penny ❤️,worth every penny
437,Worth every penny. 🤔,worth every penny
438,I'll definitely buy again. Would love a decaf version.,ill definitely buy again would love a decaf version
439,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😍,works great with milk but black coffee isnt my favourite delivery was really fast
440,Works great with milk but black coffee isn't my favourite. Delivery was really fast.,works great with milk but black coffee isnt my favourite delivery was really fast
441,Best coffee I've had in a while. 👌,best coffee ive had in a while
442,Packaging looks premium but freshness could improve. Hope you keep the quality consistent.,packaging looks premium but freshness could improve hope you keep the quality consistent
443,Packaging could be better ❤️,packaging could be better
444,Taste is nice but it's a bit pricey. 😍,taste is nice but its a bit pricey
445,Packaging looks premium but freshness could improve. Customer service was great too. 😅,packaging looks premium but freshness could improve customer service was great too
446,Love this coffee. Customer service was gr8 too. 😊,love this coffee customer service was gr too
447,Bit disappointed. ❤️,bit disappointed
448,Pretty good overall although I expected a stronger roast. Delivery was really fast. 👎,pretty good overall although i expected a stronger roast delivery was really fast
449,Very balanced flavour. Would love a decaf version.,very balanced flavour would love a decaf version
450,Very balanced flavour. Hope you keep the quality consistent. 👍,very balanced flavour hope you keep the quality consistent
451,Bit disappointed. Hope you keep the quality consistent. 😕,bit disappointed hope you keep the quality consistent
452,Way too expensive. I drink it every morning.,way too expensive i drink it every morning
453,Best coffe I've had in a while. Hope you keep the quality consistent.,best coffe ive had in a while hope you keep the quality consistent
454,Taste is nice but it's a bit pricey. 🤔,taste is nice but its a bit pricey
455,Didn't enjoy the aftertaste 😋,didnt enjoy the aftertaste
456,Love this coffee 👎,love this coffee
457,The beans smell fantastic. imo it's one of the better brands.,the beans smell fantastic opinion its one of the better brands
458,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. 😅,packaging looks premium but freshness could improve hope you keep the quality consistent
459,It's okay. 😋,its okay
460,Worth every penny. Not bad at all tbh. 👎,worth every penny not bad at all honestly
461,Wouldn't buy again. 😍,wouldnt buy again
462,Works great with milk but black coffee isn't my favourite. Customer service was gr8 too.,works great with milk but black coffee isnt my favourite customer service was gr too
463,It's okay. ❤️,its okay
464,Amazing aroma. I drink it every morning. 👍,amazing aroma i drink it every morning
465,Not as fresh as expected. Delivery was really fast.,not as fresh as expected delivery was really fast
466,Amazing aroma. Delivery was really fast. 😍,amazing aroma delivery was really fast
467,Bit disappointed,bit disappointed
468,My morning feels incomplete without it 😕,my morning feels incomplete without it
469,Love this coffee. ngl I expected more.,love this coffee honestly i expected more
470,I'll definitely buy again. I drink it every morning. 😋,ill definitely buy again i drink it every morning
471,Coffee arrived stale. 🤔,coffee arrived stale
472,I'll definitely buy again. I drink it every morning. 😊,ill definitely buy again i drink it every morning
473,Packaging could be better. Not bad at all tbh.,packaging could be better not bad at all honestly
474,Didn't enjoy the aftertaste. Not bad at all tbh.,didnt enjoy the aftertaste not bad at all honestly
475,Super smooth taste. imo it's one of the better brands. 😍,super smooth taste opinion its one of the better brands
476,Very balanced flavour. ngl I expected more. 😊,very balanced flavour honestly i expected more
477,Expected better. ngl I expected more.,expected better honestly i expected more
478,Bit disappointed 👎,bit disappointed
479,Pretty good overall although I expected a stronger roast. ngl I expected more. 🤔,pretty good overall although i expected a stronger roast honestly i expected more
480,Pretty good! 👍,pretty good
481,It's okay. ☕,its okay
482,Taste is nice but it's a bit pricey. Would love a decaf version. 🤔,taste is nice but its a bit pricey would love a decaf version
483,Worth every penny. 😅,worth every penny
484,Taste is nice but it's a bit pricey. 😕,taste is nice but its a bit pricey
485,Packaging could be better. Would recommend it to friends. 👎,packaging could be better would recommend it to friends
486,Works great with milk but black coffee isn't my favourite. ngl I expected more. 😕,works great with milk but black coffee isnt my favourite honestly i expected more
487,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 👎",love the aroma not a fan of the aftertaste not bad at all honestly
488,Very balanced flavour. Delivery was really fast. 😅,very balanced flavour delivery was really fast
489,Amazing aroma. I drink it every morning.,amazing aroma i drink it every morning
490,Love this coffee. Customer service was great too. 😍,love this coffee customer service was great too
491,Not as fesh as expected. Would love a decaf version. 🤔,not as fesh as expected would love a decaf version
492,Very balanced flavour. Would recommend it to friends.,very balanced flavour would recommend it to friends
493,Super smooth taste. Would recommend it to friends.,super smooth taste would recommend it to friends
494,Wouldn't buy again. Delivery was really fast.,wouldnt buy again delivery was really fast
495,Works gr8 with milk but black coffee isn't my favourite. 🤔,works gr with milk but black coffee isnt my favourite
496,Works gr8 with milk but black coffee isn't my favourite. Would recommend it to friends.,works gr with milk but black coffee isnt my favourite would recommend it to friends
497,Taste is nice but it's a bit pricey. Not bad at all tbh. 👌,taste is nice but its a bit pricey not bad at all honestly
498,Didn't enjoy the aftertaste. Please introduce more roast options.,didnt enjoy the aftertaste please introduce more roast options
499,Way too expensive. Would reccomend it to friends.,way too expensive would reccomend it to friends
500,Didn't enjoy the aftertaste. I drink it every morning. ❤️,didnt enjoy the aftertaste i drink it every morning
501,Way too expensive 👌,way too expensive
502,Coffee arrived stale. Would love a decaf version.,coffee arrived stale would love a decaf version
503,Really enjoying Coffee X. 🤔,really enjoying coffee x
504,Too bitter for me. Delivery was really fast.,too bitter for me delivery was really fast
505,I'll definitely buy again. imo it's one of the better brands.,ill definitely buy again opinion its one of the better brands
506,"Love the aroma, not a fan of the aftertaste. 😊",love the aroma not a fan of the aftertaste
507,Super smooth taste. 🤔,super smooth taste
508,Love it ☕ 👍,love it
509,Worth every penny. I drink it every morning. 🤔,worth every penny i drink it every morning
510,Works gr8 with milk but black coffee isn't my favourite. imo it's one of the better brands.,works gr with milk but black coffee isnt my favourite opinion its one of the better brands
511,Really enjoying Coffee X. Hope you keep the quality consistent.,really enjoying coffee x hope you keep the quality consistent
512,Too bitter for me. Would love a decaf version. 👍,too bitter for me would love a decaf version
513,rly enjoying Coffee X,rly enjoying coffee x
514,Best coffee I've had in a while. Hope you keep the qualty consistent.,best coffee ive had in a while hope you keep the qualty consistent
515,Really enjoying coffe X. Delivery was really fast.,really enjoying coffe x delivery was really fast
516,realy enjoying coffe X. Hope you keep the quality consistent. 👍,realy enjoying coffe x hope you keep the quality consistent
517,My morning feels incomplete without it. Customer service was great too.,my morning feels incomplete without it customer service was great too
518,Wouldn't buy again. Hope you keep the quality consistent. ☕,wouldnt buy again hope you keep the quality consistent
519,Pretty good overall although I expected a stronger roast. Would love a decaf version. ❤️,pretty good overall although i expected a stronger roast would love a decaf version
520,Worth every penny. imo it's one of the better brands. 👍,worth every penny opinion its one of the better brands
521,Amazing aroma. ngl I expected more. 😋,amazing aroma honestly i expected more
522,Could be better. 👍,could be better
523,Not as fresh as expected. Delivery was really fast. 😅,not as fresh as expected delivery was really fast
524,Pretty good overall although I expected a stronger roast. 👍,pretty good overall although i expected a stronger roast
525,Packaging looks premium but freshness could improve. Not bad at all tbh. ❤️,packaging looks premium but freshness could improve not bad at all honestly
526,Coffee arrived stale. Delivery was really fast. 👎,coffee arrived stale delivery was really fast
527,I'll definitely buy again. Hope you keep the qualty consistent. 😊,ill definitely buy again hope you keep the qualty consistent
528,Super smooth taste. imo it's one of the better brands. 👍,super smooth taste opinion its one of the better brands
529,Didn't enjoy the aftertaste. Customer service was great too. 😊,didnt enjoy the aftertaste customer service was great too
530,Taste is nice but it's a bit pricey. Customer service was great too.,taste is nice but its a bit pricey customer service was great too
531,Taste is nice but it's a bit pricey. Not bad at all tbh. ☕,taste is nice but its a bit pricey not bad at all honestly
532,Taste is kinda weak. Customer service was great too. ☕,taste is kinda weak customer service was great too
533,Pretty good overall although I expected a stronger roast. Customer service was great too. 😋,pretty good overall although i expected a stronger roast customer service was great too
534,Really enjoying Coffee X. Delivery was really fast. 🤔,really enjoying coffee x delivery was really fast
535,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😊",love the aroma not a fan of the aftertaste customer service was great too
536,Best coffee I've had in a while.,best coffee ive had in a while
537,Didn't enjoy the aftertaste. I drink it every morning.,didnt enjoy the aftertaste i drink it every morning
538,Love this coffee. Would recommend it to friends.,love this coffee would recommend it to friends
539,Taste is nice but it's a bit pricey. Not bad at all tbh. 😕,taste is nice but its a bit pricey not bad at all honestly
540,Amazing aroma. Customer service was gr8 too.,amazing aroma customer service was gr too
541,Could be better. 😋,could be better
542,The beans smell fantastic 🤔,the beans smell fantastic
543,My morning feels incomplete without it. 😋,my morning feels incomplete without it
544,The beans smell fantastic. 👎,the beans smell fantastic
545,Too bitter for me 👌,too bitter for me
546,Taste is nice but it's a bit pricey. ngl I expected more. 👍,taste is nice but its a bit pricey honestly i expected more
547,Works great with milk but black coffee isn't my favourite. 👎,works great with milk but black coffee isnt my favourite
548,Really enjoying Coffee X. Would love a decaf version.,really enjoying coffee x would love a decaf version
549,"Love the aroma, not a fan of the aftertaste. Delivery was really fast.",love the aroma not a fan of the aftertaste delivery was really fast
550,Works great with milk but black coffee isn't my favourite. ngl I expected more. 😅,works great with milk but black coffee isnt my favourite honestly i expected more
551,Love this coffee. I drink it every morning. 👌,love this coffee i drink it every morning
552,Worth every penny. I drink it every morning. 👌,worth every penny i drink it every morning
553,Way too expensive. Would recommend it to friends.,way too expensive would recommend it to friends
554,Love this coffee. Not bad at all tbh. 😕,love this coffee not bad at all honestly
555,Worth every penny. Hope you keep the quality consistent. ☕,worth every penny hope you keep the quality consistent
556,Best coffee I've had in a while. Hope you keep the quality consistent.,best coffee ive had in a while hope you keep the quality consistent
557,Bit disappointed. Would love a decaf version. ☕,bit disappointed would love a decaf version
558,Not as fresh as expected 😍,not as fresh as expected
559,Too bitter for me. Delivery was really fast. 👌,too bitter for me delivery was really fast
560,Not as fresh as expected. Would love a decaf version. 😊,not as fresh as expected would love a decaf version
561,Could be better. 👌,could be better
562,Too bitter for me. Not bad at all tbh. 😍,too bitter for me not bad at all honestly
563,Coffee arrived stale. Delivery was really fast.,coffee arrived stale delivery was really fast
564,Packaging could be better. Delivery was really fast. 😋,packaging could be better delivery was really fast
565,Taste is nice but it's a bit pricey. I drink it every morning. 👌,taste is nice but its a bit pricey i drink it every morning
566,Super smooth taste. 😋,super smooth taste
567,The beans smell fantastic. Hope you keep the quality consistent.,the beans smell fantastic hope you keep the quality consistent
568,Worth every penny 👌,worth every penny
569,Best cofee I've had in a while,best cofee ive had in a while
570,Expected better. 😅,expected better
571,Taste is kinda weak. imo it's one of the better brands. 👌,taste is kinda weak opinion its one of the better brands
572,Amazing aroma. Hope you keep the quality consistent.,amazing aroma hope you keep the quality consistent
573,Really enjoying coffe X.,really enjoying coffe x
574,Not as fresh as expected,not as fresh as expected
575,"Love the aroma, not a fan of the aftertaste. 👎",love the aroma not a fan of the aftertaste
576,Not as fesh as expected. Hope you keep the quality consistent.,not as fesh as expected hope you keep the quality consistent
577,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 😊,pretty good overall although i expected a stronger roast not bad at all honestly
578,Not as fresh as expected. Customer service was great too. 😋,not as fresh as expected customer service was great too
579,Expected better. ngl I expected more. 😍,expected better honestly i expected more
580,Worth every penny. imo it's one of the better brands.,worth every penny opinion its one of the better brands
581,Taste is nice but it's a bit pricey. Delivery was really fast. 🤔,taste is nice but its a bit pricey delivery was really fast
582,Wouldn't buy again. 👎,wouldnt buy again
583,"Love the aroma, not a fan of the aftertaste. 🤔",love the aroma not a fan of the aftertaste
584,Taste is nice but it's a bit pricey. 😋,taste is nice but its a bit pricey
585,Packaging could be better. Delivery was really fast. ☕,packaging could be better delivery was really fast
586,Works gr8 with milk but black coffee isn't my favourite. ngl I expected more.,works gr with milk but black coffee isnt my favourite honestly i expected more
587,Best coffee I've had in a while. imo it's one of the better brands. 👎,best coffee ive had in a while opinion its one of the better brands
588,Not as fresh as expected. ngl I expected more. 😊,not as fresh as expected honestly i expected more
589,Expected better. Customer service was great too. ❤️,expected better customer service was great too
590,Taste is kinda weak. imo it's one of the better brands.,taste is kinda weak opinion its one of the better brands
591,The beans smell fantastic. ngl I expected more. 😍,the beans smell fantastic honestly i expected more
592,Pretty good! 👌,pretty good
593,Best coffee I've had in a while. Would love a decaf version.,best coffee ive had in a while would love a decaf version
594,Love this coffee 😕,love this coffee
595,Not as fesh as expected. 😋,not as fesh as expected
596,Works great with milk but black cofee isn't my favourite. Would recommend it to friends. 👍,works great with milk but black cofee isnt my favourite would recommend it to friends
597,Works great with milk but black cofee isn't my favourite. 👌,works great with milk but black cofee isnt my favourite
598,The beans smell fantastic. I drink it every morning. 😅,the beans smell fantastic i drink it every morning
599,Packaging looks premium but freshness could improve. 👍,packaging looks premium but freshness could improve
600,"Love the aroma, not a fan of the aftertaste. ngl I expected more. ☕",love the aroma not a fan of the aftertaste honestly i expected more
601,Not bad.,not bad
602,Amazing aroma. Delivery was really fast. 😅,amazing aroma delivery was really fast
603,Packaging looks premium but freshness could improve. ❤️,packaging looks premium but freshness could improve
604,Pretty good overall although I expected a stronger roast. ☕,pretty good overall although i expected a stronger roast
605,I'll definitely buy again. ngl I expected more. 👎,ill definitely buy again honestly i expected more
606,Wouldn't buy again.,wouldnt buy again
607,Packaging looks premium but freshness could improve. Would love a decaf version.,packaging looks premium but freshness could improve would love a decaf version
608,Too bitter for me. Not bad at all tbh.,too bitter for me not bad at all honestly
609,Love this coffe Delivery was really fast. 😍,love this coffe delivery was really fast
610,Very balanced flavour. Delivery was realy fast. 😊,very balanced flavour delivery was realy fast
611,Works great with milk but black coffe isn't my favourite. 😍,works great with milk but black coffe isnt my favourite
612,Really enjoying Coffee X. Would recommend it to friends. 😕,really enjoying coffee x would recommend it to friends
613,Way too expensive. ❤️,way too expensive
614,Expected better.,expected better
615,Love this coffee. Please introduce more roast options.,love this coffee please introduce more roast options
616,Amazing aroma. Delivery was rly fast. 😅,amazing aroma delivery was rly fast
617,I'll definitely buy again 👌,ill definitely buy again
618,Pretty good overall although I expected a stronger roast. imo it's one of the better brands. 👍,pretty good overall although i expected a stronger roast opinion its one of the better brands
619,I'll definitely buy again. Please introduce more roast options.,ill definitely buy again please introduce more roast options
620,Coffee arrived stale. I drink it every morning. 😕,coffee arrived stale i drink it every morning
621,Bit disappointed. 🤔,bit disappointed
622,Wouldn't buy again. Not bad at all tbh. ☕,wouldnt buy again not bad at all honestly
623,Too bitter for me. imo it's one of the better brands.,too bitter for me opinion its one of the better brands
624,Love this coffe 👌,love this coffe
625,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. ❤️",love the aroma not a fan of the aftertaste would love a decaf version
626,Really enjoying Coffee X. I drink it every morning. 👎,really enjoying coffee x i drink it every morning
627,Love this cofee,love this cofee
628,Packaging looks premium but freshness could improve. 👌,packaging looks premium but freshness could improve
629,Super smooth taste. Hope you keep the quality consistent. 😋,super smooth taste hope you keep the quality consistent
630,My morning feels incomplete without it.,my morning feels incomplete without it
631,Taste is nice but it's a bit pricey. Please introduce more roast options. 👎,taste is nice but its a bit pricey please introduce more roast options
632,Not as fresh as expected 😋,not as fresh as expected
633,10/10 ❤️ 😅,
634,Works gr8 with milk but black coffee isn't my favourite. Hope you keep the quality consistent. 👌,works gr with milk but black coffee isnt my favourite hope you keep the quality consistent
635,Really enjoying Coffee X. Hope you keep the quality consistent. ❤️,really enjoying coffee x hope you keep the quality consistent
636,Really enjoying Coffee X. Not bad at all tbh. 👌,really enjoying coffee x not bad at all honestly
637,Too bitter for me,too bitter for me
638,Worth every penny. ngl I expected more. ☕,worth every penny honestly i expected more
639,The beans smell fantastic 😍,the beans smell fantastic
640,My morning feels incomplete without it. Delivery was rly fast.,my morning feels incomplete without it delivery was rly fast
641,Taste is kinda weak. 😕,taste is kinda weak
642,Really enjoying Coffee X.,really enjoying coffee x
643,Works great with milk but black coffee isn't my favourite. Would reccomend it to friends.,works great with milk but black coffee isnt my favourite would reccomend it to friends
644,Too bitter for me. Delivery was really fast. 👍,too bitter for me delivery was really fast
645,Works great with milk but black coffee isn't my favourite. I drink it every morning. 😊,works great with milk but black coffee isnt my favourite i drink it every morning
646,The beans smell fantastic. ngl I expected more. 🤔,the beans smell fantastic honestly i expected more
647,Super smooth taste. Not bad at all tbh. 🤔,super smooth taste not bad at all honestly
648,Packaging could be better. I drink it every morning.,packaging could be better i drink it every morning
649,"Love the aroma, not a fan of the aftertaste. ☕",love the aroma not a fan of the aftertaste
650,The beans smell fantastic. Would recommend it to friends. ☕,the beans smell fantastic would recommend it to friends
651,Didn't enjoy the aftertaste. I drink it every morning. 😅,didnt enjoy the aftertaste i drink it every morning
652,Not as fresh as expected. Not bad at all tbh. ☕,not as fresh as expected not bad at all honestly
653,The beans smell fantastic. 😍,the beans smell fantastic
654,Amazing aroma. imo it's one of the better brands.,amazing aroma opinion its one of the better brands
655,Best cofee I've had in a while. imo it's one of the better brands.,best cofee ive had in a while opinion its one of the better brands
656,Packaging could be better. Would love a decaf version. 👍,packaging could be better would love a decaf version
657,Pretty good overall although I expected a stronger roast. imo it's one of the better brands.,pretty good overall although i expected a stronger roast opinion its one of the better brands
658,My morning feels incomplete without it. I drink it every morning. 👎,my morning feels incomplete without it i drink it every morning
659,I'll definitely buy again. I drink it every morning.,ill definitely buy again i drink it every morning
660,Best coffee I've had in a while. Customer service was great too. 👌,best coffee ive had in a while customer service was great too
661,Love this coffee. Customer service was great too.,love this coffee customer service was great too
662,Taste is nice but it's a bit pricey. Please introduce more roast options. 👌,taste is nice but its a bit pricey please introduce more roast options
663,I'll definitely buy again. Would love a decaf version. 👎,ill definitely buy again would love a decaf version
664,Wouldn't buy again. 👍,wouldnt buy again
665,Love this coffee. 👍,love this coffee
666,Really enjoying Coffee X. Would love a decaf version. 😋,really enjoying coffee x would love a decaf version
667,Too bitter for me. Hope you keep the quality consistent.,too bitter for me hope you keep the quality consistent
668,Love this coffee. 😊,love this coffee
669,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😊,packaging looks premium but freshness could improve opinion its one of the better brands
670,Amazing aroma. Please introduce more roast options. 😅,amazing aroma please introduce more roast options
671,The beans smell fantastic 👎,the beans smell fantastic
672,Best cofee I've had in a while. Would love a decaf version.,best cofee ive had in a while would love a decaf version
673,I'll definitely buy again. Would reccomend it to friends. 😍,ill definitely buy again would reccomend it to friends
674,Too bitter for me 😕,too bitter for me
675,Coffee arrived stale. Hope you keep the quality consistent.,coffee arrived stale hope you keep the quality consistent
676,Way too expensive. ngl I expected more. 😊,way too expensive honestly i expected more
677,Taste is nice but it's a bit pricey. Delivery was realy fast.,taste is nice but its a bit pricey delivery was realy fast
678,I'll definitely buy again. Please introduce more roast options. 😊,ill definitely buy again please introduce more roast options
679,Love this coffe Not bad at all tbh.,love this coffe not bad at all honestly
680,Taste is kinda weak. Delivery was really fast. ❤️,taste is kinda weak delivery was really fast
681,Really enjoying Coffee X 😍,really enjoying coffee x
682,Expected better. Would love a decaf version. 😅,expected better would love a decaf version
683,Yumm 😋 🤔,yumm
684,Packaging looks premium but freshness could improve. Customer service was great too.,packaging looks premium but freshness could improve customer service was great too
685,Didn't enjoy the aftertaste. 😊,didnt enjoy the aftertaste
686,Wouldn't buy again. imo it's one of the better brands. 😕,wouldnt buy again opinion its one of the better brands
687,Pretty good! ☕,pretty good
688,The beans smell fantastic. Hope you keep the quality consistent. 😕,the beans smell fantastic hope you keep the quality consistent
689,The beans smell fantastic. Delivery was really fast. 👎,the beans smell fantastic delivery was really fast
690,Really enjoying Coffee X. 👍,really enjoying coffee x
691,Didn't enjoy the aftertaste. 😕,didnt enjoy the aftertaste
692,Too bitter for me. 😍,too bitter for me
693,Packaging could be better. ❤️,packaging could be better
694,Not as fresh as expected 🤔,not as fresh as expected
695,Yumm 😋 ❤️,yumm
696,Too bitter for me. I drink it every morning.,too bitter for me i drink it every morning
697,The beans smell fantastic. Not bad at all tbh.,the beans smell fantastic not bad at all honestly
698,Really enjoying Coffee X. Would love a decaf version. 👌,really enjoying coffee x would love a decaf version
699,10/10 ❤️ 😋,
700,I'll definitely buy again. ☕,ill definitely buy again
701,Could be better. 😊,could be better
702,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. ☕,works great with milk but black coffee isnt my favourite not bad at all honestly
703,Really enjoying Coffee X 😕,really enjoying coffee x
704,Expected better. 👎,expected better
705,Works great with milk but black coffee isn't my favourite. I drink it every morning. ☕,works great with milk but black coffee isnt my favourite i drink it every morning
706,My morning feels incomplete without it. ngl I expected more. ☕,my morning feels incomplete without it honestly i expected more
707,The beans smell fantastic. ☕,the beans smell fantastic
708,Super smooth taste 😍,super smooth taste
709,Way too expensive.,way too expensive
710,Love this coffee. Customer service was great too. 👍,love this coffee customer service was great too
711,Super smooth taste. Customer service was great too. 😊,super smooth taste customer service was great too
712,Packaging could be better. ngl I expected more. 👎,packaging could be better honestly i expected more
713,Love this coffe Hope you keep the quality consistent.,love this coffe hope you keep the quality consistent
714,Very balanced flavour. 👎,very balanced flavour
715,Taste is kinda weak. Customer service was gr8 too. 😊,taste is kinda weak customer service was gr too
716,Very balanced flavour. Delivery was really fast. 🤔,very balanced flavour delivery was really fast
717,Too bitter for me. Would love a decaf version. 😋,too bitter for me would love a decaf version
718,Super smooth taste. Would recommend it to friends. ❤️,super smooth taste would recommend it to friends
719,Didn't enjoy the aftertaste,didnt enjoy the aftertaste
720,Very balanced flavour. Customer service was great too.,very balanced flavour customer service was great too
721,Too bitter for me. Please introduce more roast options.,too bitter for me please introduce more roast options
722,Not as fresh as expected. Would recommend it to friends. ❤️,not as fresh as expected would recommend it to friends
723,Super smooth taste. 👎,super smooth taste
724,Love this coffee. Please introduce more roast options. 😊,love this coffee please introduce more roast options
725,Bit disappointed. Hope you keep the qualty consistent. 😊,bit disappointed hope you keep the qualty consistent
726,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. 😕,works great with milk but black coffee isnt my favourite opinion its one of the better brands
727,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😕,packaging looks premium but freshness could improve opinion its one of the better brands
728,I'll definitely buy again. ngl I expected more. 🤔,ill definitely buy again honestly i expected more
729,Not bad. 👌,not bad
730,I'll definitely buy again. Not bad at all tbh. 😋,ill definitely buy again not bad at all honestly
731,I'll definitely buy again,ill definitely buy again
732,Packaging looks premium but freshness could improve. imo it's one of the better brands. 🤔,packaging looks premium but freshness could improve opinion its one of the better brands
733,My morning feels incomplete without it. ngl I expected more. ❤️,my morning feels incomplete without it honestly i expected more
734,Very balanced flavour. Please introduce more roast options. 👎,very balanced flavour please introduce more roast options
735,Expected better. I drink it every morning. 🤔,expected better i drink it every morning
736,Love this coffe I drink it every morning.,love this coffe i drink it every morning
737,Amazing aroma.,amazing aroma
738,realy enjoying Coffee X. I drink it every morning.,realy enjoying coffee x i drink it every morning
739,Love this coffee. Would love a decaf version. 😅,love this coffee would love a decaf version
740,I'll definetly buy again,ill definetly buy again
