RespondentID,Feedback,Sentiment,clean_feedback,tokens,filtered_tokens,lemmatized_tokens,processed_text
95,The beans smell fantastic,Positive,the beans smell fantastic,"['the', 'beans', 'smell', 'fantastic']","['beans', 'smell', 'fantastic']","['bean', 'smell', 'fantastic']",bean smell fantastic
96,Really enjoying Coffee X.,Positive,really enjoying coffee x,"['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']",really enjoying coffee x
97,Wouldn't buy again,Negative,wouldnt buy again,"['wouldnt', 'buy', 'again']","['wouldnt', 'buy']","['wouldnt', 'buy']",wouldnt buy
98,Too expensive 😕,Negative,too expensive,"['too', 'expensive']",['expensive'],['expensive'],expensive
99,realy enjoying Coffee X. Please introduce more roast options.,Positive,realy enjoying coffee x please introduce more roast options,"['realy', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'more', 'roast', 'options']","['realy', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'roast', 'options']","['realy', 'enjoying', 'coffee', 'x', 'please', 'introduce', 'roast', 'option']",realy enjoying coffee x please introduce roast option
100,Expected better. Not bad at all tbh. ☕,Neutral,expected better not bad at all honestly,"['expected', 'better', 'not', 'bad', 'at', 'all', 'honestly']","['expected', 'better', 'not', 'bad', 'honestly']","['expected', 'better', 'not', 'bad', 'honestly']",expected better not bad honestly
101,Worth every penny. I drink it every morning.,Positive,worth every penny i drink it every morning,"['worth', 'every', 'penny', 'i', 'drink', 'it', 'every', 'morning']","['worth', 'every', 'penny', 'drink', 'every', 'morning']","['worth', 'every', 'penny', 'drink', 'every', 'morning']",worth every penny drink every morning
102,Really enjoying Coffee X. Would love a decaf version.,Positive,really enjoying coffee x would love a decaf version,"['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'a', 'decaf', 'version']","['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'decaf', 'version']","['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'decaf', 'version']",really enjoying coffee x would love decaf version
103,The beans smell fantastic. Would recommend it to friends. ☕,Positive,the beans smell fantastic would recommend it to friends,"['the', 'beans', 'smell', 'fantastic', 'would', 'recommend', 'it', 'to', 'friends']","['beans', 'smell', 'fantastic', 'would', 'recommend', 'friends']","['bean', 'smell', 'fantastic', 'would', 'recommend', 'friend']",bean smell fantastic would recommend friend
104,Packaging could be better. Delivery was really fast. 👌,Neutral,packaging could be better delivery was really fast,"['packaging', 'could', 'be', 'better', 'delivery', 'was', 'really', 'fast']","['packaging', 'could', 'better', 'delivery', 'really', 'fast']","['packaging', 'could', 'better', 'delivery', 'really', 'fast']",packaging could better delivery really fast
105,Expected better.,Negative,expected better,"['expected', 'better']","['expected', 'better']","['expected', 'better']",expected better
106,I'll definitely buy again. I drink it every morning.,Positive,ill definitely buy again i drink it every morning,"['ill', 'definitely', 'buy', 'again', 'i', 'drink', 'it', 'every', 'morning']","['ill', 'definitely', 'buy', 'drink', 'every', 'morning']","['ill', 'definitely', 'buy', 'drink', 'every', 'morning']",ill definitely buy drink every morning
107,Really enjoying Coffee X. ngl I expected more.,Neutral,really enjoying coffee x honestly i expected more,"['really', 'enjoying', 'coffee', 'x', 'honestly', 'i', 'expected', 'more']","['really', 'enjoying', 'coffee', 'x', 'honestly', 'expected']","['really', 'enjoying', 'coffee', 'x', 'honestly', 'expected']",really enjoying coffee x honestly expected
108,Very balanced flavour. I drink it every morning.,Positive,very balanced flavour i drink it every morning,"['very', 'balanced', 'flavour', 'i', 'drink', 'it', 'every', 'morning']","['balanced', 'flavour', 'drink', 'every', 'morning']","['balanced', 'flavour', 'drink', 'every', 'morning']",balanced flavour drink every morning
109,My morning feels incomplete without it,Positive,my morning feels incomplete without it,"['my', 'morning', 'feels', 'incomplete', 'without', 'it']","['morning', 'feels', 'incomplete', 'without']","['morning', 'feel', 'incomplete', 'without']",morning feel incomplete without
110,Very balanced flavour. Would recommend it to friends.,Positive,very balanced flavour would recommend it to friends,"['very', 'balanced', 'flavour', 'would', 'recommend', 'it', 'to', 'friends']","['balanced', 'flavour', 'would', 'recommend', 'friends']","['balanced', 'flavour', 'would', 'recommend', 'friend']",balanced flavour would recommend friend
111,Taste is nice but it's a bit pricey. 😊,Neutral,taste is nice but its a bit pricey,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']",taste nice bit pricey
112,Best coffee I've had in a while. imo it's one of the better brands.,Positive,best coffee ive had in a while opinion its one of the better brands,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['best', 'coffee', 'ive', 'opinion', 'one', 'better', 'brands']","['best', 'coffee', 'ive', 'opinion', 'one', 'better', 'brand']",best coffee ive opinion one better brand
113,I'll definitely buy again. 😋,Positive,ill definitely buy again,"['ill', 'definitely', 'buy', 'again']","['ill', 'definitely', 'buy']","['ill', 'definitely', 'buy']",ill definitely buy
114,Taste is kinda weak. ngl I expected more.,Negative,taste is kinda weak honestly i expected more,"['taste', 'is', 'kinda', 'weak', 'honestly', 'i', 'expected', 'more']","['taste', 'kinda', 'weak', 'honestly', 'expected']","['taste', 'kinda', 'weak', 'honestly', 'expected']",taste kinda weak honestly expected
115,Amazing aroma. Delivery was really fast.,Positive,amazing aroma delivery was really fast,"['amazing', 'aroma', 'delivery', 'was', 'really', 'fast']","['amazing', 'aroma', 'delivery', 'really', 'fast']","['amazing', 'aroma', 'delivery', 'really', 'fast']",amazing aroma delivery really fast
116,My morning feels incomplete without it. Customer service was great too. 😍,Positive,my morning feels incomplete without it customer service was great too,"['my', 'morning', 'feels', 'incomplete', 'without', 'it', 'customer', 'service', 'was', 'great', 'too']","['morning', 'feels', 'incomplete', 'without', 'customer', 'service', 'great']","['morning', 'feel', 'incomplete', 'without', 'customer', 'service', 'great']",morning feel incomplete without customer service great
117,Not as fresh as expected 😋,Negative,not as fresh as expected,"['not', 'as', 'fresh', 'as', 'expected']","['not', 'fresh', 'expected']","['not', 'fresh', 'expected']",not fresh expected
118,Meh. 😍,Negative,meh,['meh'],['meh'],['meh'],meh
119,I'll definitely buy again,Positive,ill definitely buy again,"['ill', 'definitely', 'buy', 'again']","['ill', 'definitely', 'buy']","['ill', 'definitely', 'buy']",ill definitely buy
120,Worth every penny,Positive,worth every penny,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']",worth every penny
121,Too bitter for me,Negative,too bitter for me,"['too', 'bitter', 'for', 'me']",['bitter'],['bitter'],bitter
122,Could be better.,Negative,could be better,"['could', 'be', 'better']","['could', 'better']","['could', 'better']",could better
123,Taste is kinda weak.,Negative,taste is kinda weak,"['taste', 'is', 'kinda', 'weak']","['taste', 'kinda', 'weak']","['taste', 'kinda', 'weak']",taste kinda weak
124,Taste is nice but it's a bit pricey. Delivery was really fast.,Neutral,taste is nice but its a bit pricey delivery was really fast,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'delivery', 'was', 'really', 'fast']","['taste', 'nice', 'bit', 'pricey', 'delivery', 'really', 'fast']","['taste', 'nice', 'bit', 'pricey', 'delivery', 'really', 'fast']",taste nice bit pricey delivery really fast
125,Amazing aroma. Hope you keep the quality consistent.,Positive,amazing aroma hope you keep the quality consistent,"['amazing', 'aroma', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['amazing', 'aroma', 'hope', 'keep', 'quality', 'consistent']","['amazing', 'aroma', 'hope', 'keep', 'quality', 'consistent']",amazing aroma hope keep quality consistent
126,Packaging looks premium but freshness could improve. 😅,Neutral,packaging looks premium but freshness could improve,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve']",packaging look premium freshness could improve
127,Amazing aroma. Please introduce more roast options.,Positive,amazing aroma please introduce more roast options,"['amazing', 'aroma', 'please', 'introduce', 'more', 'roast', 'options']","['amazing', 'aroma', 'please', 'introduce', 'roast', 'options']","['amazing', 'aroma', 'please', 'introduce', 'roast', 'option']",amazing aroma please introduce roast option
128,Really enjoying Coffee X. Hope you keep the quality consistent.,Positive,really enjoying coffee x hope you keep the quality consistent,"['really', 'enjoying', 'coffee', 'x', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['really', 'enjoying', 'coffee', 'x', 'hope', 'keep', 'quality', 'consistent']","['really', 'enjoying', 'coffee', 'x', 'hope', 'keep', 'quality', 'consistent']",really enjoying coffee x hope keep quality consistent
129,My morning feels incomplete without it 😊,Positive,my morning feels incomplete without it,"['my', 'morning', 'feels', 'incomplete', 'without', 'it']","['morning', 'feels', 'incomplete', 'without']","['morning', 'feel', 'incomplete', 'without']",morning feel incomplete without
130,realy enjoying Coffee X. Not bad at all tbh.,Positive,realy enjoying coffee x not bad at all honestly,"['realy', 'enjoying', 'coffee', 'x', 'not', 'bad', 'at', 'all', 'honestly']","['realy', 'enjoying', 'coffee', 'x', 'not', 'bad', 'honestly']","['realy', 'enjoying', 'coffee', 'x', 'not', 'bad', 'honestly']",realy enjoying coffee x not bad honestly
131,Really enjoying Coffee X. ❤️,Positive,really enjoying coffee x,"['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']",really enjoying coffee x
132,Packaging looks premium but freshness could improve. Would love a decaf version.,Neutral,packaging looks premium but freshness could improve would love a decaf version,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'would', 'love', 'a', 'decaf', 'version']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'would', 'love', 'decaf', 'version']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'would', 'love', 'decaf', 'version']",packaging look premium freshness could improve would love decaf version
133,The beans smell fantastic. Please introduce more roast options.,Positive,the beans smell fantastic please introduce more roast options,"['the', 'beans', 'smell', 'fantastic', 'please', 'introduce', 'more', 'roast', 'options']","['beans', 'smell', 'fantastic', 'please', 'introduce', 'roast', 'options']","['bean', 'smell', 'fantastic', 'please', 'introduce', 'roast', 'option']",bean smell fantastic please introduce roast option
134,Amazing aroma. Please introduce more roast options. 😍,Positive,amazing aroma please introduce more roast options,"['amazing', 'aroma', 'please', 'introduce', 'more', 'roast', 'options']","['amazing', 'aroma', 'please', 'introduce', 'roast', 'options']","['amazing', 'aroma', 'please', 'introduce', 'roast', 'option']",amazing aroma please introduce roast option
135,Taste is kinda weak 😍,Negative,taste is kinda weak,"['taste', 'is', 'kinda', 'weak']","['taste', 'kinda', 'weak']","['taste', 'kinda', 'weak']",taste kinda weak
136,Taste is nice but it's a bit pricey. 👍,Neutral,taste is nice but its a bit pricey,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']",taste nice bit pricey
137,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.,Neutral,works gr with milk but black coffee isnt my favourite i drink it every morning,"['works', 'gr', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'i', 'drink', 'it', 'every', 'morning']","['works', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'drink', 'every', 'morning']","['work', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'drink', 'every', 'morning']",work gr milk black coffee isnt favourite drink every morning
138,Works great with milk but black coffee isn't my favourite. Not bad at all tbh.,Neutral,works great with milk but black coffee isnt my favourite not bad at all honestly,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'not', 'bad', 'at', 'all', 'honestly']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'not', 'bad', 'honestly']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'not', 'bad', 'honestly']",work great milk black coffee isnt favourite not bad honestly
139,Pretty good overall although I expected a stronger roast. imo it's one of the better brands.,Neutral,pretty good overall although i expected a stronger roast opinion its one of the better brands,"['pretty', 'good', 'overall', 'although', 'i', 'expected', 'a', 'stronger', 'roast', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'opinion', 'one', 'better', 'brands']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'opinion', 'one', 'better', 'brand']",pretty good overall although expected stronger roast opinion one better brand
140,Best coffee I've had in a while. 😋,Positive,best coffee ive had in a while,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while']","['best', 'coffee', 'ive']","['best', 'coffee', 'ive']",best coffee ive
141,Super smooth taste. I drink it every morning.,Positive,super smooth taste i drink it every morning,"['super', 'smooth', 'taste', 'i', 'drink', 'it', 'every', 'morning']","['super', 'smooth', 'taste', 'drink', 'every', 'morning']","['super', 'smooth', 'taste', 'drink', 'every', 'morning']",super smooth taste drink every morning
142,Best coffee I've had in a while. Customer service was gr8 too.,Positive,best coffee ive had in a while customer service was gr too,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'customer', 'service', 'was', 'gr', 'too']","['best', 'coffee', 'ive', 'customer', 'service', 'gr']","['best', 'coffee', 'ive', 'customer', 'service', 'gr']",best coffee ive customer service gr
143,The beans smell fantastic. Delivery was really fast.,Positive,the beans smell fantastic delivery was really fast,"['the', 'beans', 'smell', 'fantastic', 'delivery', 'was', 'really', 'fast']","['beans', 'smell', 'fantastic', 'delivery', 'really', 'fast']","['bean', 'smell', 'fantastic', 'delivery', 'really', 'fast']",bean smell fantastic delivery really fast
144,Love this coffe Would recommend it to friends.,Positive,love this coffe would recommend it to friends,"['love', 'this', 'coffe', 'would', 'recommend', 'it', 'to', 'friends']","['love', 'coffe', 'would', 'recommend', 'friends']","['love', 'coffe', 'would', 'recommend', 'friend']",love coffe would recommend friend
145,Very balanced flavour 👌,Positive,very balanced flavour,"['very', 'balanced', 'flavour']","['balanced', 'flavour']","['balanced', 'flavour']",balanced flavour
146,Packaging looks premium but freshness could improve. Delivery was really fast.,Neutral,packaging looks premium but freshness could improve delivery was really fast,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'delivery', 'was', 'really', 'fast']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'delivery', 'really', 'fast']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'delivery', 'really', 'fast']",packaging look premium freshness could improve delivery really fast
147,I'll definitely buy again. Customer service was great too.,Positive,ill definitely buy again customer service was great too,"['ill', 'definitely', 'buy', 'again', 'customer', 'service', 'was', 'great', 'too']","['ill', 'definitely', 'buy', 'customer', 'service', 'great']","['ill', 'definitely', 'buy', 'customer', 'service', 'great']",ill definitely buy customer service great
148,Very balanced flavour. ☕,Positive,very balanced flavour,"['very', 'balanced', 'flavour']","['balanced', 'flavour']","['balanced', 'flavour']",balanced flavour
149,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😕,Neutral,packaging looks premium but freshness could improve opinion its one of the better brands,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'opinion', 'one', 'better', 'brands']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'opinion', 'one', 'better', 'brand']",packaging look premium freshness could improve opinion one better brand
150,Super smooth taste. Hope you keep the quality consistent.,Positive,super smooth taste hope you keep the quality consistent,"['super', 'smooth', 'taste', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['super', 'smooth', 'taste', 'hope', 'keep', 'quality', 'consistent']","['super', 'smooth', 'taste', 'hope', 'keep', 'quality', 'consistent']",super smooth taste hope keep quality consistent
151,realy enjoying Coffee X. Customer service was great too. 🤔,Positive,realy enjoying coffee x customer service was great too,"['realy', 'enjoying', 'coffee', 'x', 'customer', 'service', 'was', 'great', 'too']","['realy', 'enjoying', 'coffee', 'x', 'customer', 'service', 'great']","['realy', 'enjoying', 'coffee', 'x', 'customer', 'service', 'great']",realy enjoying coffee x customer service great
152,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. 👌,Neutral,packaging looks premium but freshness could improve hope you keep the quality consistent,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'hope', 'keep', 'quality', 'consistent']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'hope', 'keep', 'quality', 'consistent']",packaging look premium freshness could improve hope keep quality consistent
153,Expected better. Hope you keep the quality consistent.,Negative,expected better hope you keep the quality consistent,"['expected', 'better', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['expected', 'better', 'hope', 'keep', 'quality', 'consistent']","['expected', 'better', 'hope', 'keep', 'quality', 'consistent']",expected better hope keep quality consistent
154,Taste is kinda weak. Would love a decaf version. 😕,Negative,taste is kinda weak would love a decaf version,"['taste', 'is', 'kinda', 'weak', 'would', 'love', 'a', 'decaf', 'version']","['taste', 'kinda', 'weak', 'would', 'love', 'decaf', 'version']","['taste', 'kinda', 'weak', 'would', 'love', 'decaf', 'version']",taste kinda weak would love decaf version
155,Very balanced flavour. ngl I expected more. ☕,Negative,very balanced flavour honestly i expected more,"['very', 'balanced', 'flavour', 'honestly', 'i', 'expected', 'more']","['balanced', 'flavour', 'honestly', 'expected']","['balanced', 'flavour', 'honestly', 'expected']",balanced flavour honestly expected
156,Love it ☕,Positive,love it,"['love', 'it']",['love'],['love'],love
157,Packaging looks premium but freshness could improve. Not bad at all tbh.,Neutral,packaging looks premium but freshness could improve not bad at all honestly,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'not', 'bad', 'at', 'all', 'honestly']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'not', 'bad', 'honestly']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'not', 'bad', 'honestly']",packaging look premium freshness could improve not bad honestly
158,Works great with milk but black coffee isn't my favourite. Would love a decaf version.,Neutral,works great with milk but black coffee isnt my favourite would love a decaf version,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'would', 'love', 'a', 'decaf', 'version']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'would', 'love', 'decaf', 'version']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'would', 'love', 'decaf', 'version']",work great milk black coffee isnt favourite would love decaf version
159,Very balanced flavour. Delivery was really fast.,Positive,very balanced flavour delivery was really fast,"['very', 'balanced', 'flavour', 'delivery', 'was', 'really', 'fast']","['balanced', 'flavour', 'delivery', 'really', 'fast']","['balanced', 'flavour', 'delivery', 'really', 'fast']",balanced flavour delivery really fast
160,Not as fresh as expected. Customer service was great too. 😋,Neutral,not as fresh as expected customer service was great too,"['not', 'as', 'fresh', 'as', 'expected', 'customer', 'service', 'was', 'great', 'too']","['not', 'fresh', 'expected', 'customer', 'service', 'great']","['not', 'fresh', 'expected', 'customer', 'service', 'great']",not fresh expected customer service great
161,Not as fresh as expected. Customer service was great too.,Neutral,not as fresh as expected customer service was great too,"['not', 'as', 'fresh', 'as', 'expected', 'customer', 'service', 'was', 'great', 'too']","['not', 'fresh', 'expected', 'customer', 'service', 'great']","['not', 'fresh', 'expected', 'customer', 'service', 'great']",not fresh expected customer service great
162,The beans smell fantastic. Not bad at all tbh. 👎,Neutral,the beans smell fantastic not bad at all honestly,"['the', 'beans', 'smell', 'fantastic', 'not', 'bad', 'at', 'all', 'honestly']","['beans', 'smell', 'fantastic', 'not', 'bad', 'honestly']","['bean', 'smell', 'fantastic', 'not', 'bad', 'honestly']",bean smell fantastic not bad honestly
163,My morning feels incomplete without it. 😋,Positive,my morning feels incomplete without it,"['my', 'morning', 'feels', 'incomplete', 'without', 'it']","['morning', 'feels', 'incomplete', 'without']","['morning', 'feel', 'incomplete', 'without']",morning feel incomplete without
164,Expected better. 😅,Negative,expected better,"['expected', 'better']","['expected', 'better']","['expected', 'better']",expected better
165,I'll definitely buy again. Not bad at all tbh.,Positive,ill definitely buy again not bad at all honestly,"['ill', 'definitely', 'buy', 'again', 'not', 'bad', 'at', 'all', 'honestly']","['ill', 'definitely', 'buy', 'not', 'bad', 'honestly']","['ill', 'definitely', 'buy', 'not', 'bad', 'honestly']",ill definitely buy not bad honestly
166,Way too expensive. Delivery was really fast. ☕,Neutral,way too expensive delivery was really fast,"['way', 'too', 'expensive', 'delivery', 'was', 'really', 'fast']","['way', 'expensive', 'delivery', 'really', 'fast']","['way', 'expensive', 'delivery', 'really', 'fast']",way expensive delivery really fast
167,Very balanced flavour. 😕,Positive,very balanced flavour,"['very', 'balanced', 'flavour']","['balanced', 'flavour']","['balanced', 'flavour']",balanced flavour
168,Pretty good overall although I expected a stronger roast. ngl I expected more. 🤔,Neutral,pretty good overall although i expected a stronger roast honestly i expected more,"['pretty', 'good', 'overall', 'although', 'i', 'expected', 'a', 'stronger', 'roast', 'honestly', 'i', 'expected', 'more']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'honestly', 'expected']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'honestly', 'expected']",pretty good overall although expected stronger roast honestly expected
169,Really enjoying Coffee X. Would recommend it to friends.,Positive,really enjoying coffee x would recommend it to friends,"['really', 'enjoying', 'coffee', 'x', 'would', 'recommend', 'it', 'to', 'friends']","['really', 'enjoying', 'coffee', 'x', 'would', 'recommend', 'friends']","['really', 'enjoying', 'coffee', 'x', 'would', 'recommend', 'friend']",really enjoying coffee x would recommend friend
170,Very balanced flavour. Not bad at all tbh.,Positive,very balanced flavour not bad at all honestly,"['very', 'balanced', 'flavour', 'not', 'bad', 'at', 'all', 'honestly']","['balanced', 'flavour', 'not', 'bad', 'honestly']","['balanced', 'flavour', 'not', 'bad', 'honestly']",balanced flavour not bad honestly
171,Too bitter for me. Would recommend it to friends.,Neutral,too bitter for me would recommend it to friends,"['too', 'bitter', 'for', 'me', 'would', 'recommend', 'it', 'to', 'friends']","['bitter', 'would', 'recommend', 'friends']","['bitter', 'would', 'recommend', 'friend']",bitter would recommend friend
172,The beans smell fantastic.,Positive,the beans smell fantastic,"['the', 'beans', 'smell', 'fantastic']","['beans', 'smell', 'fantastic']","['bean', 'smell', 'fantastic']",bean smell fantastic
173,Worth every penny. 🤔,Positive,worth every penny,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']",worth every penny
174,Works great with milk but black coffee isn't my favourite.,Neutral,works great with milk but black coffee isnt my favourite,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']",work great milk black coffee isnt favourite
175,Taste is kinda weak. Would reccomend it to friends.,Neutral,taste is kinda weak would reccomend it to friends,"['taste', 'is', 'kinda', 'weak', 'would', 'reccomend', 'it', 'to', 'friends']","['taste', 'kinda', 'weak', 'would', 'reccomend', 'friends']","['taste', 'kinda', 'weak', 'would', 'reccomend', 'friend']",taste kinda weak would reccomend friend
176,Worth every penny.,Positive,worth every penny,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']",worth every penny
177,Works great with milk but black coffee isn't my favourite. 😍,Neutral,works great with milk but black coffee isnt my favourite,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite']",work great milk black coffee isnt favourite
178,Super smooth taste 😋,Positive,super smooth taste,"['super', 'smooth', 'taste']","['super', 'smooth', 'taste']","['super', 'smooth', 'taste']",super smooth taste
179,Way too expensive. Hope you keep the quality consistent.,Neutral,way too expensive hope you keep the quality consistent,"['way', 'too', 'expensive', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['way', 'expensive', 'hope', 'keep', 'quality', 'consistent']","['way', 'expensive', 'hope', 'keep', 'quality', 'consistent']",way expensive hope keep quality consistent
180,Bit disappointed,Negative,bit disappointed,"['bit', 'disappointed']","['bit', 'disappointed']","['bit', 'disappointed']",bit disappointed
181,Packaging could be better,Negative,packaging could be better,"['packaging', 'could', 'be', 'better']","['packaging', 'could', 'better']","['packaging', 'could', 'better']",packaging could better
182,Taste is nice but it's a bit pricey. Delivery was really fast. 😕,Neutral,taste is nice but its a bit pricey delivery was really fast,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'delivery', 'was', 'really', 'fast']","['taste', 'nice', 'bit', 'pricey', 'delivery', 'really', 'fast']","['taste', 'nice', 'bit', 'pricey', 'delivery', 'really', 'fast']",taste nice bit pricey delivery really fast
183,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍",Neutral,love the aroma not a fan of the aftertaste not bad at all honestly,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'not', 'bad', 'at', 'all', 'honestly']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'not', 'bad', 'honestly']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'not', 'bad', 'honestly']",love aroma not fan aftertaste not bad honestly
184,Worth every penny. Hope you keep the quality consistent.,Neutral,worth every penny hope you keep the quality consistent,"['worth', 'every', 'penny', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['worth', 'every', 'penny', 'hope', 'keep', 'quality', 'consistent']","['worth', 'every', 'penny', 'hope', 'keep', 'quality', 'consistent']",worth every penny hope keep quality consistent
185,Bit disappointed. Would love a decaf version. ☕,Neutral,bit disappointed would love a decaf version,"['bit', 'disappointed', 'would', 'love', 'a', 'decaf', 'version']","['bit', 'disappointed', 'would', 'love', 'decaf', 'version']","['bit', 'disappointed', 'would', 'love', 'decaf', 'version']",bit disappointed would love decaf version
186,My morning feels incomplete without it. Would love a decaf version.,Positive,my morning feels incomplete without it would love a decaf version,"['my', 'morning', 'feels', 'incomplete', 'without', 'it', 'would', 'love', 'a', 'decaf', 'version']","['morning', 'feels', 'incomplete', 'without', 'would', 'love', 'decaf', 'version']","['morning', 'feel', 'incomplete', 'without', 'would', 'love', 'decaf', 'version']",morning feel incomplete without would love decaf version
187,Didn't enjoy the aftertaste. imo it's one of the better brands.,Neutral,didnt enjoy the aftertaste opinion its one of the better brands,"['didnt', 'enjoy', 'the', 'aftertaste', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['didnt', 'enjoy', 'aftertaste', 'opinion', 'one', 'better', 'brands']","['didnt', 'enjoy', 'aftertaste', 'opinion', 'one', 'better', 'brand']",didnt enjoy aftertaste opinion one better brand
188,Best coffee I've had in a while. Please introduce more roast options.,Positive,best coffee ive had in a while please introduce more roast options,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'please', 'introduce', 'more', 'roast', 'options']","['best', 'coffee', 'ive', 'please', 'introduce', 'roast', 'options']","['best', 'coffee', 'ive', 'please', 'introduce', 'roast', 'option']",best coffee ive please introduce roast option
